row_id,home_raw,away_raw,home_key,away_key,date_key,competition_key,match_id_key,diagnosis,resolved_match_id
0,名古屋グランパス,町田,名古屋,町田,,J.League,,home_away_reversed,
1,サンフレッチェ広島,川崎フロンターレ,広島,川崎F,,J.League,,home_away_reversed,
2,セレッソ大阪,FC東京,C大阪,FC東京,,J.League,,home_away_reversed,
3,V・ファーレン長崎,水戸ホーリーホック,長崎,水戸,,J.League,,team_not_in_player_data,
4,京都サンガF.C.,柏レイソル,京都,柏,,J.League,,home_away_reversed,
5,ヴィッセル神戸,鹿島アントラーズ,神戸,鹿島,,J.League,,home_away_reversed,
6,アビスパ福岡,ジェフユナイテッド千葉,福岡,千葉,,J.League,,team_not_in_player_data,
7,ファジアーノ岡山,浦和レッズ,岡山,浦和,,J.League,,matched_by_team_date,32519
8,清水エスパルス,横浜F・マリノス,清水,横浜FM,,J.League,,home_away_reversed,
9,ガンバ大阪,東京ヴェルディ,G大阪,東京V,,J.League,,home_away_reversed,
10,ベガルタ仙台,ヴァンフォーレ甲府,仙台,甲府,,J.League,,team_not_in_player_data,
11,富山,宮崎,富山,宮崎,,J.League,,team_not_in_player_data,
12,ブラウブリッツ秋田,北海道コンサドーレ札幌,秋田,札幌,,J.League,,team_not_in_player_data,
13,アビスパ福岡,ヴィッセル神戸,福岡,神戸,,J.League,,home_away_reversed,
14,鹿島アントラーズ,FC東京,鹿島,FC東京,,J.League,,home_away_reversed,
15,京都サンガF.C.,V・ファーレン長崎,京都,長崎,,J.League,,team_not_in_player_data,
16,ファジアーノ岡山,セレッソ大阪,岡山,C大阪,,J.League,,matched_by_team_date,32489
17,東京ヴェルディ,横浜F・マリノス,東京V,横浜FM,,J.League,,home_away_reversed,
18,サンフレッチェ広島,名古屋グランパス,広島,名古屋,,J.League,,home_away_reversed,
19,柏レイソル,ジェフユナイテッド千葉,柏,千葉,,J.League,,team_not_in_player_data,
20,水戸ホーリーホック,川崎フロンターレ,水戸,川崎F,,J.League,,team_not_in_player_data,
21,清水エスパルス,ガンバ大阪,清水,G大阪,,J.League,,home_away_reversed,
22,北海道コンサドーレ札幌,ジュビロ磐田,札幌,磐田,,J.League,,home_away_reversed,
23,ベガルタ仙台,横浜FC,仙台,横浜FC,,J.League,,matched_by_team_date,25208
24,徳島ヴォルティス,FC今治,徳島,FC今治,,J.League,,team_not_in_player_data,
25,藤枝MYFC,いわきFC,藤枝,いわき,,J.League,,team_not_in_player_data,
26,水戸ホーリーホック,東京ヴェルディ,水戸,東京V,,J.League,,team_not_in_player_data,
27,横浜F・マリノス,柏レイソル,横浜FM,柏,,J.League,,home_away_reversed,
28,V・ファーレン長崎,ヴィッセル神戸,長崎,神戸,,J.League,,team_not_in_player_data,
29,ジェフユナイテッド千葉,鹿島アントラーズ,千葉,鹿島,,J.League,,team_not_in_player_data,
30,京都サンガF.C.,サンフレッチェ広島,京都,広島,,J.League,,home_away_reversed,
31,浦和レッズ,FC東京,浦和,FC東京,,J.League,,home_away_reversed,
32,ファジアーノ岡山,清水エスパルス,岡山,清水,,J.League,,matched_by_team_date,31398
33,セレッソ大阪,名古屋グランパス,C大阪,名古屋,,J.League,,home_away_reversed,
34,川崎フロンターレ,町田,川崎F,町田,,J.League,,home_away_reversed,
35,FC琉球,鳥取,FC琉球,鳥取,,J.League,,team_not_in_player_data,
36,富山,徳島ヴォルティス,富山,徳島,,J.League,,team_not_in_player_data,
37,大分,宮崎,大分,宮崎,,Cup/Other,,team_not_in_player_data,
38,ジュビロ磐田,藤枝MYFC,磐田,藤枝,,J.League,,team_not_in_player_data,
39,水戸ホーリーホック,浦和レッズ,水戸,浦和,,J.League,,team_not_in_player_data,
40,横浜F・マリノス,鹿島アントラーズ,横浜FM,鹿島,,J.League,,home_away_reversed,
41,ヴィッセル神戸,ファジアーノ岡山,神戸,岡山,,J.League,,matched_by_team_date,32290
42,ガンバ大阪,サンフレッチェ広島,G大阪,広島,,J.League,,home_away_reversed,
43,名古屋グランパス,京都サンガF.C.,名古屋,京都,,J.League,,home_away_reversed,
44,セレッソ大阪,V・ファーレン長崎,C大阪,長崎,,J.League,,team_not_in_player_data,
45,清水エスパルス,アビスパ福岡,清水,福岡,,J.League,,home_away_reversed,
46,FC東京,東京ヴェルディ,FC東京,東京V,,J.League,,home_away_reversed,
47,ジェフユナイテッド千葉,町田,千葉,町田,,J.League,,team_not_in_player_data,
48,柏レイソル,川崎フロンターレ,柏,川崎F,,J.League,,home_away_reversed,
49,北海道コンサドーレ札幌,大宮,札幌,大宮,,J.League,,team_not_in_player_data,
50,大分,サガン鳥栖,大分,鳥栖,,Cup/Other,,matched_by_team_date,25109
51,いわきFC,ヴァンフォーレ甲府,いわき,甲府,,J.League,,team_not_in_player_data,
52,清水エスパルス,セレッソ大阪,清水,C大阪,,J.League,,home_away_reversed,
53,アビスパ福岡,京都サンガF.C.,福岡,京都,,J.League,,home_away_reversed,
54,FC東京,ジェフユナイテッド千葉,FC東京,千葉,,J.League,,team_not_in_player_data,
55,サンフレッチェ広島,ヴィッセル神戸,広島,神戸,,J.League,,home_away_reversed,
56,鹿島アントラーズ,水戸ホーリーホック,鹿島,水戸,,J.League,,team_not_in_player_data,
57,V・ファーレン長崎,ファジアーノ岡山,長崎,岡山,,J.League,,team_not_in_player_data,
58,名古屋グランパス,ガンバ大阪,名古屋,G大阪,,J.League,,home_away_reversed,
59,町田,横浜F・マリノス,町田,横浜FM,,J.League,,home_away_reversed,
60,柏レイソル,浦和レッズ,柏,浦和,,J.League,,home_away_reversed,
61,川崎フロンターレ,東京ヴェルディ,川崎F,東京V,,J.League,,home_away_reversed,
62,八戸,湘南ベルマーレ,八戸,湘南,,J.League,,team_not_in_player_data,
63,アルビレックス新潟,徳島ヴォルティス,新潟,徳島,,J.League,,missing_training_date,
64,ヴァンフォーレ甲府,ジュビロ磐田,甲府,磐田,,J.League,,team_not_in_player_data,
65,ファジアーノ岡山,サンフレッチェ広島,岡山,広島,,J.League,,matched_by_team_date,32372
66,FC東京,川崎フロンターレ,FC東京,川崎F,,J.League,,home_away_reversed,
67,京都サンガF.C.,清水エスパルス,京都,清水,,J.League,,home_away_reversed,
